page,text,confidence,x0,y0,x1,y1
1,Tabesto by Delivel,0.9678114202380876,3374,469,3486,486
1,nja,0.2632669366319376,3614,469,3639,483
1,nja,0.259027724104967,3994,469,4019,483
1,~2%,0.3832853904177579,4397,469,4424,483
1,-4%,0.8857234526839723,4577,469,4604,483
1,4%,0.9633943245460096,4578,469,4603,483
1,6 %,0.5644491951301088,4758,469,4783,483
1,-1%,0.5699744899975572,4938,469,4963,483
1,124%,0.9976443648338318,5106,469,5143,483
1,538%,0.584900059275328,5283,469,5323,486
1,-10%,0.9366313219070435,5458,469,5493,486
1,nfa,0.3891996994537841,6036,469,6058,486
1,nla,0.40874718359380946,6216,469,6238,486
1,nfa,0.3891996994537841,6396,469,6418,486
1,nla,0.7328158397807056,6573,469,6598,486
1,nla,0.720060162270828,6698,469,6723,486
1,specializing in food tech solutions for_,0.9267923303964737,682,473,914,497
1,CELUS GmbH is =,0.8979172414018095,686,504,783,521
1,technology company,0.9992198810675338,789,504,916,523
1,hide,0.9998431205749512,149,514,176,526
1,Celus,0.9999854458074046,224,514,261,531
1,"Jul 28, 2025 12.57 PM",0.747797524119722,526,514,656,531
1,celus io,0.61590277236011,1164,514,1216,528
1,51-200,0.7438744071373093,1339,514,1383,528
1,Germany,0.9999697666884371,1536,514,1591,531
1,Bavaria,0.666824726518434,1644,514,1693,531
1,Munich,0.9889828286112565,1764,514,1813,531
1,caintunity,0.6206820921131591,1874,514,1936,531
1,Load contacts,0.9999220996020117,2024,514,2111,531
1,ntacts,0.9715682385695789,2073,514,2111,531
1,Venture Capital,0.8630725362913025,2134,514,2229,531
1,2018,1.0,2254,514,2289,528
1,31.6,0.9635249973356298,2434,514,2464,528
1,25.5,0.9991018772125244,2604,514,2634,531
1,Jul %,0.17559577121300252,2704,514,2729,528
1,2022,0.9999964237213135,2739,514,2774,531
1,Series,0.9972281214084311,2784,514,2826,531
1,2xN,0.7928995357185913,2934,514,2964,528
1,nla,0.4656871913816776,3104,514,3129,531
1,Plug and Play Tecl,0.9126334202598736,3234,514,3344,531
1,nja,0.24802033954645775,3354,514,3379,528
1,nla,0.582354945349586,3579,514,3604,531
1,nja,0.2578820403599573,3614,514,3639,528
1,nja,0.24802033954645775,3994,514,4019,528
1,nla,0.582354945349586,4219,514,4244,531
1,0%,0.9965750130665072,4399,514,4424,528
1,24%,0.9920716010317217,4571,514,4603,528
1,35%,0.9988947440877457,4751,514,4783,528
1,116 %,0.8538335310395869,4928,514,4963,531
1,236 %,0.42802664585483635,5103,514,5143,531
1,266 %,0.5957689452795257,5283,514,5323,531
1,55%,0.9959355851029413,5461,514,5493,531
1,"RidlerstraBe 57; Munich, Bavaria 80339, DE",0.7386674938491211,5506,514,5755,531
1,nla,0.7480620545507495,6033,514,6058,531
1,nla,0.7389864446776637,6213,514,6238,531
1,nla,0.7480620545507495,6393,514,6418,531
1,nla,0.7389864446776637,6573,514,6598,531
1,nla,0.7401881313840805,6698,514,6723,531
1,specializing in electronics design solutions I.,0.7256769096616632,682,518,952,542
1,technology company,0.8421993009874987,762,546,892,570
1,KINEXON i,0.983605848354912,686,549,748,566
1,EIT Digital,0.678751511996549,3234,556,3299,576
1,Kinexon,0.9999717492097125,224,559,273,576
1,"Jul 28, 2025 12.57 PM",0.7443694091960557,526,559,656,576
1,kinexon com,0.6426018807474007,1164,559,1246,576
1,201-500,0.647055348999078,1331,559,1383,573
1,211,0.999956364750777,1481,559,1503,573
1,Germany,0.9999229067251438,1536,559,1593,576
1,Bavaria,0.6603759005697104,1644,559,1693,576
1,Munich,0.8642403627805477,1764,559,1813,573
1,kinexon,0.9996661105478005,1874,559,1926,573
1,Load contacts,0.9821739631544649,2024,559,2111,573
1,ntacts,0.9734256368241297,2073,559,2111,576
1,Private Equity,0.9068827834362828,2134,559,2218,576
1,2012,1.0,2254,559,2288,573
1,147.8,0.4870855880723416,2429,559,2464,573
1,130,0.8661347031593323,2609,559,2634,573
1,"Apr 25, 2022",0.7938161263903402,2694,559,2774,576
1,Series,0.9999268267684798,2784,559,2826,576
1,BMW i Ventures,0.8970480229253937,2934,559,3031,573
1,nla,0.45592738339200134,3104,559,3129,576
1,Eul,0.9323188978978992,3322,559,3344,573
1,nla,0.466376375772561,3354,559,3379,576
1,nla,0.5797285110607544,3579,559,3604,576
1,nja,0.26110192198695775,3614,559,3639,573
1,29,0.999998651301114,3962,559,3984,573
1,nja,0.24293506055407285,3994,559,4019,573
1,-4%,0.9389390661133283,4217,559,4241,576
1,-10%,0.980709969997406,4389,559,4424,573
1,-11%,0.8667365312576294,4572,559,4604,573
1,11%,0.9666320548396096,4576,559,4603,573
1,-17%,0.82840895652771,4751,559,4783,573
1,-16 %,0.36859792175385736,4928,559,4963,576
1,13%,0.9692007899284363,5113,559,5143,576
